1_1,1_2,1_3,1_4,1_5,2_1,2_2,2_3,3_1,3_2,3_3
2.666666667,3.166666667,2.833333333,2.5,2.666666667,3.833333333,3.166666667,3,2.666666667,2.5,2.833333333
5,4,4,4,3,4,4,3,4,2,3
3,5,4,4,3,4,2,3,5,3,3
2,2,1.5,1,1.5,2.5,1.5,3,1.5,2,2
3.666666667,3.666666667,3.666666667,3.333333333,3,3.666666667,3,3,3,2.666666667,2.333333333
2,5,2,4,3,4,2,3,4,1,3
3.666666667,3.333333333,3.666666667,2.333333333,3,3.666666667,3.666666667,3,3.333333333,3.333333333,2.666666667
3.666666667,3.333333333,3.333333333,3.333333333,2.666666667,3.666666667,3,2.333333333,3.333333333,2.666666667,2.333333333
3.25,3.25,3,3.25,3.25,3.75,3.25,3,3,2.75,3.25
4.666666667,4.333333333,4.333333333,4,3,4,4.333333333,3,4,3.333333333,3
3,3.25,2.75,2.75,2.75,3.25,2.5,3.25,3.25,2.75,3
3.75,3.75,3.5,3,3,2.75,2.5,2.75,3.25,2.25,2.75
2.333333333,3.333333333,3,3.333333333,2.666666667,2,1.666666667,3,3,2.333333333,3
3.333333333,3.666666667,3.666666667,3,3,3.666666667,3.666666667,3,3.666666667,2.666666667,3
4,4,2,3,3,2,3,3,4,3,3
